[0.0027, 0.0027, 0.0027, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0054,],
[0.0054, 0.0027, 0.0027, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0136,],
[0.0027, 0.0027, 0.0027, 0.0027,],
[0.0027, 0.0054, 0.0027, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0027,],
[0.0027, 0.0054, 0.0027, 0.0027,],
[0.0027, 0.0027, 0.0054, 0.0027,],
[0.0027, 0.0027, 0.0054, 0.0027,],
[0.0027, 0.0027, 0.0054, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0054,],
[0.0027, 0.0027, 0.0027, 0.0027,],
[0.0027, 0.0027, 0.0081, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0054,],
[0.0027, 0.0027, 0.0081, 0.0027,],
[0.0027, 0.0054, 0.0027, 0.0027,],
[0.0027, 0.0027, 0.0081, 0.0108,],
[0.0027, 0.0027, 0.0054, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0027,],
[0.0027, 0.0054, 0.0027, 0.0027,],
[0.0027, 0.0054, 0.0027, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0027,],
[0.0136, 0.0136, 0.0163, 0.0136,],
[0.0054, 0.0027, 0.0027, 0.0027,],
[0.0054, 0.0027, 0.0027, 0.0027,],
[0.0054, 0.0027, 0.0027, 0.0054,],
[0.0027, 0.0027, 0.0054, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0027,],
[0.0108, 0.0027, 0.0027, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0027,],
[0.0136, 0.0027, 0.0027, 0.0027,],
[0.0054, 0.0027, 0.0027, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0027,],
[0.0027, 0.0054, 0.0027, 0.0054,],
[0.0569, 0.0027, 0.0136, 0.0027,],
[0.0054, 0.0027, 0.0027, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0027,],
[0.0054, 0.0027, 0.0027, 0.0027,],
[0.0434, 0.0027, 0.0027, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0027,],
[0.0027, 0.0027, 0.0054, 0.0027,],
[0.0027, 0.0081, 0.0027, 0.0027,],
[0.0027, 0.0027, 0.0054, 0.0027,],
[0.0027, 0.0054, 0.0054, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0027,],
[0.0054, 0.0027, 0.0027, 0.0027,],
[0.0027, 0.0054, 0.0027, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0054,],
[0.0027, 0.0027, 0.0027, 0.0054,],
[0.0027, 0.0027, 0.0352, 0.0027,],
[0.0027, 0.0027, 0.0027, 0.0027,],
[0.0054, 0.0027, 0.0054, 0.0054,],
[0.0027, 0.0027, 0.0027, 0.0054,],
[0.0054, 0.0027, 0.0027, 0.0027,],
